date,datatype,value,4,5,6,7,station_id
20170101,WT03,1,,,7,,USC00301011
20170101,WT03,1,,,7,,USC00301625
20170101,WT01,1,,,7,,USC00304731
20170101,WT06,1,,,7,,USC00304912
20170101,WT01,1,,,7,,USC00306867
20170101,WT04,1,,,7,,USC00308455
20170101,WT01,1,,,W,,USW00004725
20170101,WT01,1,,,W,,USW00014750
20170101,WT01,1,,,W,,USW00014768
20170101,WT01,1,,,W,,USW00064776
20170101,WT01,1,,,W,,USW00094725
20170101,WT08,1,,,W,,USW00094728
20170101,WT01,1,,,W,,USW00094740
20170101,WT01,1,,,W,,USW00094790
20170102,WT01,1,,,7,,USC00309049
20170102,WT01,1,,,W,,USW00004725
20170102,WT01,1,,,W,,USW00004781
20170102,WT04,1,,,W,,USW00004781
20170102,WT01,1,,,W,,USW00014732
20170102,WT04,1,,,W,,USW00014732
20170102,WT01,1,,,W,,USW00014733
20170102,WT01,1,,,W,,USW00014750
20170102,WT08,1,,,W,,USW00014750
20170102,WT01,1,,,W,,USW00014757
20170102,WT08,1,,,W,,USW00014757
20170102,WT01,1,,,W,,USW00094725
20170102,WT01,1,,,W,,USW00094728
20170102,WT04,1,,,W,,USW00094728
20170102,WT01,1,,,W,,USW00094789
20170102,WT04,1,,,W,,USW00094789
20170102,WT08,1,,,W,,USW00094789
20170102,WT01,1,,,W,,USW00094790
20170102,WT08,1,,,W,,USW00094790
20170103,WT01,1,,,7,,USC00301309
20170103,WT01,1,,,7,,USC00301625
20170103,WT06,1,,,7,,USC00304731
20170103,WT01,1,,,7,,USC00305426
20170103,WT01,1,,,7,,USC00306525
20170103,WT01,1,,,7,,USC00306867
20170103,WT01,1,,,7,,USC00309049
20170103,WT01,1,,,W,,USW00004725
20170103,WT01,1,,,W,,USW00004781
20170103,WT01,1,,,W,,USW00014732
20170103,WT01,1,,,W,,USW00014733
20170103,WT01,1,,,W,,USW00014735
20170103,WT06,1,,,W,,USW00014735
20170103,WT01,1,,,W,,USW00014750
20170103,WT08,1,,,W,,USW00014750
20170103,WT01,1,,,W,,USW00014757
20170103,WT01,1,,,W,,USW00014768
20170103,WT01,1,,,W,,USW00014771
20170103,WT01,1,,,W,,USW00064776
20170103,WT01,1,,,W,,USW00094725
20170103,WT06,1,,,W,,USW00094725
